Timestamp,EventType,SourceIP,DestinationHost,UserPrincipal,Severity,Message,Facility
2026-06-11T09:00:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T09:01:00Z,AuthFailure,10.20.5.21,scada-gw.utility.local,unknown,Critical,Brute force on web portal,Corporate-VPN
2026-06-11T09:02:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T09:03:00Z,FirewallAllow,10.20.5.28,scada-gw.utility.local,,Low,Allowed outbound HTTPS,DMZ-Firewall
2026-06-11T09:04:00Z,AuthFailure,10.20.5.22,scada-gw.utility.local,operator@utility.com,High,Web login failed,Substation-A
2026-06-11T09:05:00Z,VPNLogout,10.20.5.45,scada-gw.utility.local,contractor@utility.com,Low,VPN session ended,Corporate-VPN
2026-06-11T09:06:00Z,FirewallAllow,10.20.5.35,scada-gw.utility.local,,Low,Allowed outbound HTTPS,DMZ-Firewall
2026-06-11T09:07:00Z,VPNLogout,10.20.5.48,scada-gw.utility.local,contractor@utility.com,Low,VPN session ended,Corporate-VPN
2026-06-11T09:08:00Z,PrivilegeEscalation,10.20.5.25,scada-gw.utility.local,admin@utility.com,Critical,Role elevation on web portal,SCADA-Gateway
2026-06-11T09:09:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T09:10:00Z,AuthFailure,10.20.5.23,scada-gw.utility.local,operator@utility.com,High,Web login failed,Substation-A
2026-06-11T09:11:00Z,ConfigChange,10.20.5.35,scada-gw.utility.local,admin@utility.com,Medium,Web ACL updated,Substation-B
2026-06-11T09:12:00Z,VPNLogin,10.20.5.52,scada-gw.utility.local,contractor@utility.com,Low,VPN via web gateway,Corporate-VPN
2026-06-11T09:13:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T09:14:00Z,AuthFailure,10.20.5.27,scada-gw.utility.local,operator@utility.com,High,Web login failed,Substation-A
2026-06-11T09:15:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T09:16:00Z,ConfigChange,10.20.5.31,scada-gw.utility.local,admin@utility.com,Medium,Web ACL updated,Substation-B
2026-06-11T09:17:00Z,AuthSuccess,10.20.5.30,scada-gw.utility.local,supervisor@utility.com,Low,Web login OK,Substation-A
2026-06-11T09:18:00Z,VPNLogin,10.20.5.49,scada-gw.utility.local,contractor@utility.com,Low,VPN via web gateway,Corporate-VPN
2026-06-11T09:19:00Z,ConfigChange,10.20.5.41,scada-gw.utility.local,admin@utility.com,Medium,Web ACL updated,Substation-B
2026-06-11T09:20:00Z,FirewallDeny,203.0.113.50,scada-gw.utility.local,,High,Blocked web exploit attempt,DMZ-Firewall
2026-06-11T09:21:00Z,FirewallAllow,10.20.5.42,scada-gw.utility.local,,Low,Allowed outbound HTTPS,DMZ-Firewall
2026-06-11T09:22:00Z,FirewallAllow,10.20.5.46,scada-gw.utility.local,,Low,Allowed outbound HTTPS,DMZ-Firewall
2026-06-11T09:23:00Z,PrivilegeEscalation,10.20.5.44,scada-gw.utility.local,admin@utility.com,Critical,Role elevation on web portal,SCADA-Gateway
2026-06-11T09:24:00Z,VPNLogin,10.20.5.62,scada-gw.utility.local,contractor@utility.com,Low,VPN via web gateway,Corporate-VPN
2026-06-11T09:25:00Z,PrivilegeEscalation,10.20.5.47,scada-gw.utility.local,admin@utility.com,Critical,Role elevation on web portal,SCADA-Gateway
2026-06-11T09:26:00Z,ConfigChange,10.20.5.45,scada-gw.utility.local,admin@utility.com,Medium,Web ACL updated,Substation-B
2026-06-11T09:27:00Z,FirewallAllow,10.20.5.53,scada-gw.utility.local,,Low,Allowed outbound HTTPS,DMZ-Firewall
